,loss,dice,accuracy,mean_io_u
144,0.03940023109316826,0.98046875,0.9904006719589233,0.25
145,0.04086337611079216,0.9797595143318176,0.9899078607559204,0.25
146,0.03939097374677658,0.9787105321884155,0.9901703000068665,0.25
147,0.038747936487197876,0.9862045049667358,0.9901115298271179,0.25002002716064453
148,0.03957614302635193,0.9800087213516235,0.9898399114608765,0.25
149,0.040007997304201126,0.9818187952041626,0.989855170249939,0.25
150,0.04381493479013443,0.9817510843276978,0.9887077212333679,0.25
151,0.03716069087386131,0.9834948778152466,0.9909698367118835,0.25
152,0.03587045520544052,0.9828101396560669,0.9912818670272827,0.25
153,0.034788794815540314,0.9852598905563354,0.9909347295761108,0.25
154,0.03613363951444626,0.9819865226745605,0.9905281066894531,0.25
155,0.03477807343006134,0.9874598383903503,0.9905555844306946,0.25
156,0.03393936902284622,0.9820041656494141,0.9906265139579773,0.25
157,0.03533921763300896,0.9829306602478027,0.9911796450614929,0.25
158,0.03293013572692871,0.9852076768875122,0.9907256960868835,0.25
159,0.032585691660642624,0.984400749206543,0.9912391901016235,0.25
160,0.03908505290746689,0.9816945195198059,0.988690972328186,0.25
161,0.04632170498371124,0.9848530888557434,0.9881698489189148,0.25
162,0.03867093846201897,0.9815441966056824,0.9895965456962585,0.25
163,0.03632403165102005,0.9821357727050781,0.9903777837753296,0.25
164,0.03265131264925003,0.9851914644241333,0.9914947748184204,0.2500019073486328
165,0.030929559841752052,0.9851343035697937,0.9917060732841492,0.25000572204589844
166,0.028086503967642784,0.9871299862861633,0.9921470880508423,0.25
167,0.026005849242210388,0.9880943298339844,0.9925956726074219,0.25000858306884766
168,0.023644274100661278,0.9893515706062317,0.9931777715682983,0.2500004768371582
169,0.027132218703627586,0.9865620732307434,0.9920570254325867,0.25
170,0.027904804795980453,0.9889541864395142,0.9916900396347046,0.25000953674316406
171,0.0327787883579731,0.983269214630127,0.9887016415596008,0.25
172,0.030249381437897682,0.9879255294799805,0.9916297793388367,0.2500004768371582
173,0.028748581185936928,0.9850366711616516,0.9915626645088196,0.25000667572021484
174,0.024842318147420883,0.9889421463012695,0.993024468421936,0.25009727478027344
175,0.023294616490602493,0.988885223865509,0.993181586265564,0.2500185966491699
176,0.021603811532258987,0.9910128712654114,0.9939521551132202,0.25000762939453125
177,0.02171989716589451,0.9901484251022339,0.9939117431640625,0.2500157356262207
178,0.019796419888734818,0.9907218217849731,0.9945533871650696,0.25018978118896484
179,0.019852004945278168,0.9910637736320496,0.9943550229072571,0.2508493661880493
180,0.02248898707330227,0.989398181438446,0.9932487607002258,0.25361940264701843
181,0.01973932608962059,0.9914250373840332,0.994366466999054,0.25214746594429016
182,0.01884966716170311,0.9909592866897583,0.9945617914199829,0.2521560490131378
183,0.017992470413446426,0.9918978810310364,0.9950393438339233,0.2539898753166199
184,0.017847593873739243,0.9917455911636353,0.994921088218689,0.2572167217731476
185,0.01748514361679554,0.9924535751342773,0.9951118230819702,0.26045316457748413
186,0.01820608600974083,0.9905759692192078,0.9944862127304077,0.2638688087463379
187,0.017110925167798996,0.9926160573959351,0.9950889348983765,0.26532813906669617
